Date,AR,dAR
2023-10-17,0.7545346881356296,-2.511706098086956
2023-10-18,0.7508882933612248,-2.5418810334502737
2023-10-19,0.751056686637091,-2.5703064135655684
2023-10-20,0.7522026885457547,-2.5905440132090822
2023-10-23,0.7533141079335297,-2.591521474176165
2023-10-24,0.7500954104192012,-2.6004061576808075
2023-10-25,0.7513284881196001,-2.5996198126536947
2023-10-26,0.7470042562217272,-2.587138942853339
2023-10-27,0.7466184415756891,-2.5789668807602175
2023-10-30,0.7473435982482557,-2.573253142515039
2023-10-31,0.747944515179582,-2.556433959855012
2023-11-01,0.7479400239964632,-2.5411028183147493
2023-11-02,0.7508481989126197,-2.525049830564098
2023-11-03,0.7479852959410075,-2.5175812459163414
2023-11-06,0.7487376716952598,-2.502460586289857
2023-11-07,0.7479413683854192,-2.4787188001305878
2023-11-08,0.7492158019258105,-2.4439218106279044
2023-11-09,0.7493394604332425,-2.4106809084240117
2023-11-10,0.7484497344406864,-2.3831919435679207
2023-11-13,0.7264050877796309,-2.392097038490879
2023-11-14,0.7312895336214392,-2.3870263175733077
2023-11-15,0.7309254999337306,-2.3869872864314616
2023-11-16,0.7300094039000469,-2.3781015936513654
2023-11-17,0.7307500399388523,-2.3685293941144496
2023-11-20,0.7309642220531595,-2.3617008322724344
2023-11-21,0.7317638906496581,-2.3563131538455138
2023-11-22,0.7332665218566774,-2.349760365828662
2023-11-24,0.7321908036976258,-2.352553973382584
2023-11-27,0.7319254076817165,-2.3495494298110096
2023-11-28,0.7321475169940925,-2.3487421426357247
2023-11-29,0.7294738928217464,-2.3504156633593225
2023-11-30,0.7300214880223751,-2.3548943513726
2023-12-01,0.7262749800272409,-2.3651523768121527
2023-12-04,0.725767677589266,-2.3745293239778995
2023-12-05,0.7268023928386249,-2.3344437306193604
2023-12-06,0.7232803497131304,-2.3111436146263302
2023-12-07,0.7233713927707568,-2.288169583067698
2023-12-08,0.7234911626963461,-2.264243077000804
2023-12-11,0.7232127386392564,-2.2433620010906608
2023-12-12,0.722553197681977,-2.224804159436554
2023-12-13,0.7217775473959257,-2.209843366906956
2023-12-14,0.7198901460351627,-2.201237565404167
2023-12-15,0.7191761688426968,-2.1921161201357715
2023-12-18,0.7170768819945471,-2.185853080384312
2023-12-19,0.7167825956307813,-2.1811361304406676
2023-12-20,0.7179208274132536,-2.1704386701850584
2023-12-21,0.7182695508362554,-2.1610626782417963
2023-12-22,0.7166661903877896,-2.1471791842254975
2023-12-26,0.7168217013419275,-2.1328791181131197
2023-12-27,0.7159257407461735,-2.122361816964214
2023-12-28,0.7155925067749294,-2.106312790489149
2023-12-29,0.7145018023475276,-2.092508288985077
2024-01-02,0.7098273337530345,-2.085277905693978
